participante,rol,tarea,tiempo_segundos,errores,pidio_ayuda,completo,observaciones
1,repositor,1 - Cargar mercadería,,,,,
1,cajero,2 - Cobrar una venta,,,,,
1,dueño,3 - Averiguar stock,,,,,
2,repositor,1 - Cargar mercadería,,,,,
2,cajero,2 - Cobrar una venta,,,,,
2,dueño,3 - Averiguar stock,,,,,
3,repositor,1 - Cargar mercadería,,,,,
3,cajero,2 - Cobrar una venta,,,,,
3,dueño,3 - Averiguar stock,,,,,
4,repositor,1 - Cargar mercadería,,,,,
4,cajero,2 - Cobrar una venta,,,,,
4,dueño,3 - Averiguar stock,,,,,
5,repositor,1 - Cargar mercadería,,,,,
5,cajero,2 - Cobrar una venta,,,,,
5,dueño,3 - Averiguar stock,,,,,
